[FSXFences]
6799ea08493746087f22e8aedcd42241 1 0,37 2,48 1 lib_Fences_FSX_#1
636de51742cb161218f0dba7b731c320 1 0,37 91,63 1 lib_Fences_FSX_#2
6f4a4d1944f64eb9eb3cee8dd897655c 1 0,37 61,05 1 lib_Fences_FSX_#3
6e94a124457c349b72a8a79f96a83617 1 0,37 3,08 1 lib_Fences_FSX_#4
f23dc24f45097dd3afeb24a32dd260a7 1 0,37 12,25 1 lib_Fences_FSX_#5
73e805584e9d40dd8e76468851916ea3 1 0,37 9,18 1 lib_Fences_FSX_#6
d3c03e7946319382c6cd468163cfc157 1 0,37 27,53 1 lib_Fences_FSX_#7
0d8dfb8049c8041b34bad7ab713a986e 1 0,37 30,57 1 lib_Fences_FSX_#8
9c02ea8b4e614651f12faa946977da2c 1 0,37 0,08 1 lib_Fences_FSX_#9
d92101914b402f30606c3984814b3b9c 1 0,37 0,62 1 lib_Fences_FSX_#10
5e4870ab41c53421292959b3cc5c190c 1 0,37 1,28 1 lib_Fences_FSX_#11
93263aae4f1d590545987bb3f5463a91 1 0,37 6,17 1 lib_Fences_FSX_#12
c5ed62c84167b194a9d10c94b268cced 1 0,46 0,76 1 lib_Fences_FSX_#13
bb58e4d642d9465c735a7ebb08c55587 1 0,37 18,36 1 lib_Fences_FSX_#14
b2958ae144564bb1f82d7cb1c9110072 1 0,37 24,45 1 lib_Fences_FSX_#15
aad9a3f248a71b91b50ef889cb0e9e4d 1 0,37 1,87 1 lib_Fences_FSX_#16
9c652ef441cd0ef96d3dad8786a94c0d 1 0,37 15,35 1 lib_Fences_FSX_#17
beb444f9441ed471c8eaa79497490d73 1 0,37 21,42 1 lib_Fences_FSX_#18
